0.55,hsa-miR-18a-5p,hsa-miR-30e-5p,"[-0.2603065132364042, 0.5426564958511166]"
0.53,hsa-miR-18a-5p,hsa-miR-29c-3p,"[-0.026946404779993292, 0.634372549102924]"
0.49,hsa-miR-18a-5p,hsa-miR-140-3p,"[-0.2856730478992606, 0.594080299861582]"
0.46,hsa-miR-18a-5p,hsa-miR-122-5p,"[-0.11223399502485004, -0.32396866016406595]"
0.44,hsa-miR-18a-5p,hsa-miR-10b-5p,"[-0.25928467477079054, 0.4426273144610139]"
0.44,hsa-miR-18a-5p,hsa-miR-148a-3p,"[-0.019067729636082553, -0.3210110000614132]"
0.43,hsa-miR-18a-5p,hsa-miR-23b-3p,"[-0.015899262435083574, -0.2192410181963359]"
0.43,hsa-miR-18a-5p,hsa-miR-22-3p,"[-0.02013761848979823, 0.11005810013345751]"
0.42,hsa-miR-18a-5p,hsa-miR-26b-5p,"[0.0, -0.15100290595956065]"
0.42,hsa-miR-18a-5p,hsa-miR-199a-5p,"[0.0, -0.08188190918035274]"
0.42,hsa-miR-18a-5p,hsa-miR-215,"[-0.25615319075682913, 0.2806681376368548]"
0.42,hsa-miR-18a-5p,hsa-miR-660-5p,"[-0.2271539577290197, 0.4234502862279983]"
0.42,hsa-miR-18a-5p,hsa-miR-30c-5p,"[-0.2394292542586933, 0.5366269980147506]"
0.41,hsa-miR-18a-5p,hsa-miR-93-5p,"[-0.023571628644573073, -0.18721104517408507]"
0.41,hsa-miR-18a-5p,hsa-miR-25-3p,"[-0.099684828040119, 0.20080944499033102]"
0.41,hsa-miR-18a-5p,hsa-miR-223-3p,"[-0.2797889607252899, -0.22267357359435433]"
0.41,hsa-miR-18a-5p,hsa-miR-30a-5p,"[-0.045379806040607776, 0.0]"
0.41,hsa-miR-18a-5p,hsa-miR-497-5p,"[-0.32841816613248653, 0.30993743069400975]"
0.4,hsa-miR-18a-5p,hsa-let-7e-5p,"[0.0, -0.052187677498534146]"
0.4,hsa-miR-18a-5p,hsa-miR-125b-5p,"[-0.20315309269335907, 0.3587475223873105]"
0.4,hsa-miR-18a-5p,hsa-miR-375,"[-0.31562000054398814, 0.27240707378068224]"
0.4,hsa-miR-18a-5p,hsa-miR-152,"[-0.021998875719523716, -0.0361535261847895]"
0.4,hsa-miR-18a-5p,hsa-let-7d-5p,"[-0.045511839289356634, 0.0]"
0.4,hsa-miR-18a-5p,hsa-let-7i-5p,"[-0.23195774837602978, 0.3425945616699882]"
0.39,hsa-miR-18a-5p,hsa-miR-326,"[-0.04549828523882577, 0.0]"
0.39,hsa-miR-18a-5p,hsa-miR-136-5p,"[0.0, -0.044588836639857056]"
0.39,hsa-miR-18a-5p,hsa-miR-342-3p,"[-0.045379806040607776, 0.0]"
0.39,hsa-miR-18a-5p,hsa-miR-99a-5p,"[-0.04550374423693691, 0.0]"
0.39,hsa-miR-18a-5p,hsa-miR-92a-3p,"[-0.04551369331307874, 0.0]"
0.39,hsa-miR-18a-5p,hsa-miR-374b-5p,"[-0.33580204047403023, 0.27757014786260276]"
0.39,hsa-miR-18a-5p,hsa-miR-423-3p,"[-0.045379806040607776, 0.0]"
0.38,hsa-miR-18a-5p,hsa-miR-30b-5p,"[-0.009313654750981391, -0.14390274971419975]"
0.38,hsa-miR-18a-5p,hsa-miR-15a-5p,"[-0.04551121252792402, 0.0]"
0.38,hsa-miR-18a-5p,hsa-miR-27b-3p,"[-0.04593990404309901, -0.19166129428517387]"
0.38,hsa-miR-18a-5p,hsa-miR-146a-5p,"[-0.045379806040607776, 0.0]"
0.38,hsa-miR-18a-5p,hsa-miR-338-3p,"[-0.045379806040607776, 0.0]"
0.38,hsa-miR-18a-5p,hsa-miR-139-5p,"[-0.045379806040607776, 0.0]"
0.37,hsa-miR-18a-5p,hsa-miR-16-5p,"[-0.045379806040607776, 0.0]"
0.37,hsa-miR-18a-5p,hsa-miR-19a-3p,"[-0.039066260661470016, 0.033440148264017616]"
0.37,hsa-miR-18a-5p,hsa-miR-142-5p,"[-0.045379806040607776, 0.0]"
0.37,hsa-miR-18a-5p,hsa-miR-101-3p,"[-0.05021340752990415, 0.06593992919925468]"
0.37,hsa-miR-18a-5p,hsa-miR-192-5p,"[-0.04547885425626292, 0.0]"
0.37,hsa-miR-18a-5p,hsa-miR-320b,"[-0.041146879859886555, -0.041916868960047815]"
0.37,hsa-miR-18a-5p,hsa-miR-20a-5p,"[-0.045379806040607776, 0.0]"
0.36,hsa-miR-18a-5p,hsa-miR-222-3p,"[-0.045379806040607776, 0.0]"
0.36,hsa-miR-18a-5p,hsa-miR-106a-5p,"[-0.045379806040607776, 0.0]"
0.36,hsa-miR-18a-5p,hsa-miR-186-5p,"[-0.045379806040607776, 0.0]"
0.36,hsa-miR-18a-5p,hsa-miR-99b-5p,"[-0.04551433743303711, 0.0]"
0.36,hsa-miR-18a-5p,hsa-miR-144-3p,"[-0.045379806040607776, 0.0]"
0.35,hsa-miR-18a-5p,hsa-miR-21-5p,"[-0.04550979956350433, 0.0]"
